movie,similar_movie
Go for Zucker! (Alles auf Zucker!) ,I'm Starting From Three (Ricomincio da Tre) 
Go for Zucker! (Alles auf Zucker!) ,My Boyfriend's Back 
Friends with Money ,Jalla! Jalla! 
Friends with Money ,Terminal
Friends with Money ,10 Items or Less 
Friends with Money ,For Roseanna (Roseanna's Grave) 
Friends with Money ,Cooler
Reefer Madness: The Movie Musical ,It's All Gone Pete Tong 
Reefer Madness: The Movie Musical ,Everybody's Famous! (Iedereen beroemd!) 
Reefer Madness: The Movie Musical ,Hair 
Reefer Madness: The Movie Musical ,24 Hour Party People 
Reefer Madness: The Movie Musical ,Chorus Line
Candy ,Crazy/Beautiful 
Candy ,Memoirs of a Geisha 
Candy ,To Gillian on Her 37th Birthday 
Candy ,Beautiful Thing 
Candy ,Girl on the Bridge
Secrets of a Soul (Geheimnisse einer Seele) ,French Lieutenant's Woman
Secrets of a Soul (Geheimnisse einer Seele) ,Camera Buff (Amator) 
Secrets of a Soul (Geheimnisse einer Seele) ,Children Are Watching Us
Secrets of a Soul (Geheimnisse einer Seele) ,Return of Martin Guerre
Secrets of a Soul (Geheimnisse einer Seele) ,Honey (Miele) 
"Child, The (L'enfant) ",Irrational Man 
"Child, The (L'enfant) ",Mean Streets 
"Child, The (L'enfant) ",Pride and Glory 
"Child, The (L'enfant) ",Felon 
"Child, The (L'enfant) ",Godfather
9/11 ,Dancemaker 
9/11 ,Regret to Inform 
9/11 ,Little Dieter Needs to Fly 
9/11 ,First Position 
9/11 ,Amanda Knox 
Scary Movie 4 ,Attack of the Killer Tomatoes! 
Scary Movie 4 ,Creep 2 
Scary Movie 4 ,Bride of Re-Animator 
Scary Movie 4 ,Once Bitten 
Scary Movie 4 ,Bubba Ho-tep 
Hard Candy ,The Perfect Guy 
Hard Candy ,Niagara 
Hard Candy ,First Snow 
Hard Candy ,Firm
Hard Candy ,Bad Education (La mala educación) 
"Prairie Home Companion, A ",It's All Gone Pete Tong 
"Prairie Home Companion, A ",Everybody's Famous! (Iedereen beroemd!) 
"Prairie Home Companion, A ",Hair 
"Prairie Home Companion, A ",24 Hour Party People 
"Prairie Home Companion, A ",Chorus Line
"Sentinel, The ",Boiler Room 
"Sentinel, The ",Citizen X 
"Sentinel, The ",Cleanskin 
"Sentinel, The ",Perfect World
"Sentinel, The ",Anything for Her (Pour elle) 
"Wild, The ",Toy Story 
"Wild, The ",Adventures of Rocky and Bullwinkle
"Wild, The ",Antz 
"Wild, The ",Toy Story 2 
"Wild, The ",Emperor's New Groove
Silent Hill ,Tales from the Darkside: The Movie 
Silent Hill ,Insidious: Chapter 3 
Silent Hill ,Nightmare on Elm Street
Silent Hill ,Paperhouse 
American Dreamz ,My Father the Hero (Mon père
American Dreamz ,Miracle on 34th Street 
American Dreamz ,Mrs. Doubtfire 
American Dreamz ,Liberal Arts 
American Dreamz ,Mental 
Kinky Boots ,My Father the Hero (Mon père
Kinky Boots ,Miracle on 34th Street 
Kinky Boots ,Mrs. Doubtfire 
Kinky Boots ,Liberal Arts 
Kinky Boots ,Mental 
"Protector, The (a.k.a. Warrior King) (Tom yum goong) ",Remo Williams: The Adventure Begins 
"Protector, The (a.k.a. Warrior King) (Tom yum goong) ",Beverly Hills Cop II 
"Protector, The (a.k.a. Warrior King) (Tom yum goong) ",Ocean's Twelve 
"Protector, The (a.k.a. Warrior King) (Tom yum goong) ",Kindergarten Cop 
"Protector, The (a.k.a. Warrior King) (Tom yum goong) ",Formula 51 
Mission: Impossible III ,Quantum of Solace 
Mission: Impossible III ,Goldfinger 
Mission: Impossible III ,View to a Kill
Mission: Impossible III ,Surviving the Game 
Mission: Impossible III ,Rock
RV ,Bedtime Stories 
RV ,Paulie 
RV ,Herbie Goes to Monte Carlo 
RV ,Herbie Goes Bananas 
RV ,Candleshoe 
United 93 ,Irrational Man 
United 93 ,Mean Streets 
United 93 ,Pride and Glory 
United 93 ,Felon 
United 93 ,Godfather
Stick It ,Andrew Dice Clay: Dice Rules 
Stick It ,Night Shift 
Stick It ,Joe Dirt 2: Beautiful Loser 
Stick It ,I'm Starting From Three (Ricomincio da Tre) 
Stick It ,My Boyfriend's Back 
"American Haunting, An ",Amityville Horror
"American Haunting, An ",Others
"American Haunting, An ",Skeleton Key
"American Haunting, An ",Boogeyman 
Down in the Valley ,Crazy/Beautiful 
Down in the Valley ,Memoirs of a Geisha 
Down in the Valley ,To Gillian on Her 37th Birthday 
Down in the Valley ,Beautiful Thing 
Down in the Valley ,Girl on the Bridge
Over the Hedge ,Jimmy Neutron: Boy Genius 
Over the Hedge ,Madagascar 
Over the Hedge ,Minions 
Over the Hedge ,Shaun the Sheep Movie 
Art School Confidential ,My Father the Hero (Mon père
Art School Confidential ,Miracle on 34th Street 
Art School Confidential ,Mrs. Doubtfire 
Art School Confidential ,Liberal Arts 
Art School Confidential ,Mental 
Poseidon ,Mission: Impossible - Ghost Protocol 
Poseidon ,Skyfall 
Poseidon ,Bourne Legacy
Poseidon ,Captain Phillips 
"Da Vinci Code, The ",Eyes Wide Shut 
"Da Vinci Code, The ",Unknown 
"Da Vinci Code, The ",Game
"Da Vinci Code, The ",Swimming Pool 
"Da Vinci Code, The ",Number 23
X-Men: The Last Stand ,Island
X-Men: The Last Stand ,Hangar 18 
X-Men: The Last Stand ,Gamer 
X-Men: The Last Stand ,X-Men Origins: Wolverine 
X-Men: The Last Stand ,Total Recall 
"Break-Up, The ",Jalla! Jalla! 
"Break-Up, The ",Terminal
"Break-Up, The ",10 Items or Less 
"Break-Up, The ",For Roseanna (Roseanna's Grave) 
"Break-Up, The ",Cooler
Peaceful Warrior ,French Lieutenant's Woman
Peaceful Warrior ,Camera Buff (Amator) 
Peaceful Warrior ,Children Are Watching Us
Peaceful Warrior ,Return of Martin Guerre
Peaceful Warrior ,Honey (Miele) 
Cars ,There Once Was a Dog 
Cars ,Garfield: A Tail of Two Kitties 
Cars ,Scooby-Doo! and the Loch Ness Monster 
Cars ,Big Top Scooby-Doo! 
"Notorious Bettie Page, The ",French Lieutenant's Woman
"Notorious Bettie Page, The ",Camera Buff (Amator) 
"Notorious Bettie Page, The ",Children Are Watching Us
"Notorious Bettie Page, The ",Return of Martin Guerre
"Notorious Bettie Page, The ",Honey (Miele) 
Game 6 ,My Father the Hero (Mon père
Game 6 ,Miracle on 34th Street 
Game 6 ,Mrs. Doubtfire 
Game 6 ,Liberal Arts 
Game 6 ,Mental 
On a Clear Day ,French Lieutenant's Woman
On a Clear Day ,Camera Buff (Amator) 
On a Clear Day ,Children Are Watching Us
On a Clear Day ,Return of Martin Guerre
On a Clear Day ,Honey (Miele) 
"Omen, The ",The Spiral Staircase 
"Omen, The ",Black Christmas 
"Omen, The ",Midnight Meat Train
"Omen, The ",Suicide Club (Jisatsu saakuru) 
"Omen, The ",Friday the 13th 
Nacho Libre ,Andrew Dice Clay: Dice Rules 
Nacho Libre ,Night Shift 
Nacho Libre ,Joe Dirt 2: Beautiful Loser 
Nacho Libre ,I'm Starting From Three (Ricomincio da Tre) 
Nacho Libre ,My Boyfriend's Back 
"Lake House, The ",Orlando 
"Lake House, The ",About Time 
"Lake House, The ",Wings of Desire (Himmel über Berlin
"Lake House, The ",Beautiful Creatures 
"Lake House, The ",City of Angels 
Click ,Stardust 
Click ,What Dreams May Come 
Click ,Emerald Green 
Click ,Twilight Saga: Breaking Dawn - Part 1
"Devil Wears Prada, The ",My Father the Hero (Mon père
"Devil Wears Prada, The ",Miracle on 34th Street 
"Devil Wears Prada, The ",Mrs. Doubtfire 
"Devil Wears Prada, The ",Liberal Arts 
"Devil Wears Prada, The ",Mental 
Pirates of the Caribbean: Dead Man's Chest ,Street Fighter 
Pirates of the Caribbean: Dead Man's Chest ,Librarian
Pirates of the Caribbean: Dead Man's Chest ,Librarian: Return to King Solomon's Mines
Pirates of the Caribbean: Dead Man's Chest ,13th Warrior
Pirates of the Caribbean: Dead Man's Chest ,Red Sonja 
"You, Me and Dupree ",Andrew Dice Clay: Dice Rules 
"You, Me and Dupree ",Night Shift 
"You, Me and Dupree ",Joe Dirt 2: Beautiful Loser 
"You, Me and Dupree ",I'm Starting From Three (Ricomincio da Tre) 
"You, Me and Dupree ",My Boyfriend's Back 
Clerks II ,Andrew Dice Clay: Dice Rules 
Clerks II ,Night Shift 
Clerks II ,Joe Dirt 2: Beautiful Loser 
Clerks II ,I'm Starting From Three (Ricomincio da Tre) 
Clerks II ,My Boyfriend's Back 
Lady in the Water ,Winter's Tale 
Lady in the Water ,Fanny and Alexander (Fanny och Alexander) 
Lady in the Water ,Exterminating Angel
Lady in the Water ,Premonition 
My Super Ex-Girlfriend ,Here Comes Mr. Jordan 
My Super Ex-Girlfriend ,Bewitched 
My Super Ex-Girlfriend ,Bell
My Super Ex-Girlfriend ,Just Like Heaven 
Marie Antoinette ,Crazy/Beautiful 
Marie Antoinette ,Memoirs of a Geisha 
Marie Antoinette ,To Gillian on Her 37th Birthday 
Marie Antoinette ,Beautiful Thing 
Marie Antoinette ,Girl on the Bridge
Who Killed the Electric Car? ,Dancemaker 
Who Killed the Electric Car? ,Regret to Inform 
Who Killed the Electric Car? ,Little Dieter Needs to Fly 
Who Killed the Electric Car? ,First Position 
Who Killed the Electric Car? ,Amanda Knox 
"Inconvenient Truth, An ",Dancemaker 
"Inconvenient Truth, An ",Regret to Inform 
"Inconvenient Truth, An ",Little Dieter Needs to Fly 
"Inconvenient Truth, An ",First Position 
"Inconvenient Truth, An ",Amanda Knox 
Career Opportunities ,I'll Be Home For Christmas 
Career Opportunities ,Guru
Career Opportunities ,Hard Promises 
Career Opportunities ,40 Days and 40 Nights 
Career Opportunities ,10 
High School Musical ,Another Cinderella Story 
High School Musical ,Music Man
High School Musical ,Please Don't Eat the Daisies 
High School Musical ,Muppets Take Manhattan
I Am a Sex Addict ,Paper Heart 
I Am a Sex Addict ,Forgotten Silver 
I Am a Sex Addict ,Jeff Ross Roasts Criminals: Live at Brazos County Jail 
I Am a Sex Addict ,Hands on a Hard Body 
Stoned ,French Lieutenant's Woman
Stoned ,Camera Buff (Amator) 
Stoned ,Children Are Watching Us
Stoned ,Return of Martin Guerre
Stoned ,Honey (Miele) 
Jet Li's Fearless (Huo Yuan Jia) ,The Magnificent Ruffians 
Jet Li's Fearless (Huo Yuan Jia) ,Paid in Full 
Jet Li's Fearless (Huo Yuan Jia) ,Running Scared 
Jet Li's Fearless (Huo Yuan Jia) ,Soul Surfer 
Jet Li's Fearless (Huo Yuan Jia) ,Series 7: The Contenders 
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) ",Assault on Precinct 13 
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) ",Ninja 
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) ",Léon: The Professional (a.k.a. The Professional) (Léon) 
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) ",Point Blank 
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) ",Dark Blue 
Garfield: A Tail of Two Kitties ,There Once Was a Dog 
Garfield: A Tail of Two Kitties ,Cars 
Garfield: A Tail of Two Kitties ,Scooby-Doo! and the Loch Ness Monster 
Garfield: A Tail of Two Kitties ,Big Top Scooby-Doo! 
Metal: A Headbanger's Journey ,Dancemaker 
Metal: A Headbanger's Journey ,Regret to Inform 
Metal: A Headbanger's Journey ,Little Dieter Needs to Fly 
Metal: A Headbanger's Journey ,First Position 
Metal: A Headbanger's Journey ,Amanda Knox 
"Public Eye, The ",Day of the Jackal
"Public Eye, The ",Entrapment 
"Public Eye, The ",Heaven's Prisoners 
"Public Eye, The ",That Demon Within 
"Public Eye, The ",Dead Man's Shoes 
Superman Returns ,Star Wars: Episode II - Attack of the Clones 
Superman Returns ,The Hunger Games: Catching Fire 
Superman Returns ,Avatar 
Superman Returns ,John Carter 
"Road to Guantanamo, The ",Human Condition I
"Road to Guantanamo, The ",Boy in the Striped Pajamas
"Road to Guantanamo, The ",Ashes and Diamonds (Popiól i diament) 
"Road to Guantanamo, The ",Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
"Road to Guantanamo, The ",Gardens of Stone 
Edmond ,The Perfect Guy 
Edmond ,Niagara 
Edmond ,First Snow 
Edmond ,Firm
Edmond ,Bad Education (La mala educación) 
"OH in Ohio, The ",Andrew Dice Clay: Dice Rules 
"OH in Ohio, The ",Night Shift 
"OH in Ohio, The ",Joe Dirt 2: Beautiful Loser 
"OH in Ohio, The ",I'm Starting From Three (Ricomincio da Tre) 
"OH in Ohio, The ",My Boyfriend's Back 
Little Miss Sunshine ,Hector and the Search for Happiness 
Little Miss Sunshine ,Sisterhood of the Traveling Pants
Little Miss Sunshine ,Fanboys 
Little Miss Sunshine ,Darjeeling Limited
Little Miss Sunshine ,Cloudburst 
"Fallen Idol, The ",Eyes Wide Shut 
"Fallen Idol, The ",Unknown 
"Fallen Idol, The ",Game
"Fallen Idol, The ",Swimming Pool 
"Fallen Idol, The ",Number 23
Babel ,The Perfect Guy 
Babel ,Niagara 
Babel ,First Snow 
Babel ,Firm
Babel ,Bad Education (La mala educación) 
Strangers with Candy ,Andrew Dice Clay: Dice Rules 
Strangers with Candy ,Night Shift 
Strangers with Candy ,Joe Dirt 2: Beautiful Loser 
Strangers with Candy ,I'm Starting From Three (Ricomincio da Tre) 
Strangers with Candy ,My Boyfriend's Back 
Wordplay ,Dancemaker 
Wordplay ,Regret to Inform 
Wordplay ,Little Dieter Needs to Fly 
Wordplay ,First Position 
Wordplay ,Amanda Knox 
Army of Shadows (L'armée des ombres) ,Throne of Blood (Kumonosu jô) 
Army of Shadows (L'armée des ombres) ,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) 
Army of Shadows (L'armée des ombres) ,Green Zone 
Army of Shadows (L'armée des ombres) ,Lone Survivor 
Orchestra Rehearsal (Prova d'orchestra) ,French Lieutenant's Woman
Orchestra Rehearsal (Prova d'orchestra) ,Camera Buff (Amator) 
Orchestra Rehearsal (Prova d'orchestra) ,Children Are Watching Us
Orchestra Rehearsal (Prova d'orchestra) ,Return of Martin Guerre
Orchestra Rehearsal (Prova d'orchestra) ,Honey (Miele) 
Little Man ,Andrew Dice Clay: Dice Rules 
Little Man ,Night Shift 
Little Man ,Joe Dirt 2: Beautiful Loser 
Little Man ,I'm Starting From Three (Ricomincio da Tre) 
Little Man ,My Boyfriend's Back 
Monster House ,Scooby-Doo! Abracadabra-Doo 
Monster House ,Kizumonogatari III: Cold Blood 
Monster House ,Alice (Neco z Alenky) 
Monster House ,Kizumonogatari II: Passionate Blood 
Snakes on a Plane ,Feast 
Snakes on a Plane ,From Dusk Till Dawn 
Snakes on a Plane ,Pusher III: I'm the Angel of Death 
Snakes on a Plane ,Black Christmas 
Scoop ,Exterminating Angel
Scoop ,Fanny and Alexander (Fanny och Alexander) 
Scoop ,Winter's Tale 
Scoop ,Lady in the Water 
Talladega Nights: The Ballad of Ricky Bobby ,Ride Along 2 
Talladega Nights: The Ballad of Ricky Bobby ,Stop! Or My Mom Will Shoot 
Talladega Nights: The Ballad of Ricky Bobby ,Let the Bullets Fly 
Talladega Nights: The Ballad of Ricky Bobby ,City Heat 
Talladega Nights: The Ballad of Ricky Bobby ,Hard Ticket to Hawaii 
Night at the Museum ,Sucker Punch 
Night at the Museum ,Thor: The Dark World 
Night at the Museum ,Pirates of the Caribbean: On Stranger Tides 
Night at the Museum ,Oz the Great and Powerful 
World Trade Center ,French Lieutenant's Woman
World Trade Center ,Camera Buff (Amator) 
World Trade Center ,Children Are Watching Us
World Trade Center ,Return of Martin Guerre
World Trade Center ,Honey (Miele) 
Stranger than Fiction ,Price of Milk
Stranger than Fiction ,Arizona Dream 
Stranger than Fiction ,P.S. 
Stranger than Fiction ,Defending Your Life 
Miami Vice ,Assault on Precinct 13 
Miami Vice ,Ninja 
Miami Vice ,Léon: The Professional (a.k.a. The Professional) (Léon) 
Miami Vice ,Point Blank 
Miami Vice ,Dark Blue 
"Pursuit of Happyness, The ",French Lieutenant's Woman
"Pursuit of Happyness, The ",Camera Buff (Amator) 
"Pursuit of Happyness, The ",Children Are Watching Us
"Pursuit of Happyness, The ",Return of Martin Guerre
"Pursuit of Happyness, The ",Honey (Miele) 
John Tucker Must Die ,I'll Be Home For Christmas 
John Tucker Must Die ,Guru
John Tucker Must Die ,Hard Promises 
John Tucker Must Die ,40 Days and 40 Nights 
John Tucker Must Die ,10 
"Ant Bully, The ",Shrek Forever After (a.k.a. Shrek: The Final Chapter) 
"Ant Bully, The ",Toy Story 3 
"Ant Bully, The ",Polar Express
"Ant Bully, The ",How to Train Your Dragon 
Crank ,River Wild
Crank ,Collateral Damage 
Crank ,Driven 
Crank ,In the Line of Fire 
Crank ,Nick of Time 
"Secret Life of Words, The ",Crazy/Beautiful 
"Secret Life of Words, The ",Memoirs of a Geisha 
"Secret Life of Words, The ",To Gillian on Her 37th Birthday 
"Secret Life of Words, The ",Beautiful Thing 
"Secret Life of Words, The ",Girl on the Bridge
Chaos ,Assault on Precinct 13 
Chaos ,Ninja 
Chaos ,Léon: The Professional (a.k.a. The Professional) (Léon) 
Chaos ,Point Blank 
Chaos ,Dark Blue 
"Night Listener, The ",Solace 
"Night Listener, The ",Last Wave
"Night Listener, The ",Premonition 
"Night Listener, The ",Survive Style 5+ 
Step Up ,Crazy/Beautiful 
Step Up ,Memoirs of a Geisha 
Step Up ,To Gillian on Her 37th Birthday 
Step Up ,Beautiful Thing 
Step Up ,Girl on the Bridge
Zoom ,Bird People in China
Zoom ,Dogma 
Zoom ,Adventures of Baron Munchausen
Zoom ,Hook 
Mind Game ,Final Fantasy: The Spirits Within 
Mind Game ,Light Years (Gandahar) 
Mind Game ,Futurama: Bender's Game 
Mind Game ,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) 
Half Nelson ,French Lieutenant's Woman
Half Nelson ,Camera Buff (Amator) 
Half Nelson ,Children Are Watching Us
Half Nelson ,Return of Martin Guerre
Half Nelson ,Honey (Miele) 
"Moustache, La ",Eyes Wide Shut 
"Moustache, La ",Unknown 
"Moustache, La ",Game
"Moustache, La ",Swimming Pool 
"Moustache, La ",Number 23
Tideland ,I Kill Giants 
Tideland ,Seventh Sign
Tideland ,Pan's Labyrinth (Laberinto del fauno
Tideland ,Byzantium 
Adam's Apples (Adams æbler) ,My Father the Hero (Mon père
Adam's Apples (Adams æbler) ,Miracle on 34th Street 
Adam's Apples (Adams æbler) ,Mrs. Doubtfire 
Adam's Apples (Adams æbler) ,Liberal Arts 
Adam's Apples (Adams æbler) ,Mental 
Material Girls ,Our Lips Are Sealed 
Material Girls ,Sandlot
Material Girls ,Go Figure 
Material Girls ,Wide Awake 
Material Girls ,Ice Princess 
Accepted ,Andrew Dice Clay: Dice Rules 
Accepted ,Night Shift 
Accepted ,Joe Dirt 2: Beautiful Loser 
Accepted ,I'm Starting From Three (Ricomincio da Tre) 
Accepted ,My Boyfriend's Back 
Crime Busters ,Batman Forever 
Crime Busters ,Nothing to Lose 
Crime Busters ,I Spy 
Crime Busters ,Rumble in the Bronx (Hont faan kui) 
Born to Kill ,Limits of Control
Born to Kill ,Call Northside 777 
Born to Kill ,I Am a Fugitive from a Chain Gang 
Born to Kill ,Hoodlum 
"Illusionist, The ",Faraway
"Illusionist, The ",Curious Case of Benjamin Button
"Illusionist, The ",Practical Magic 
"Illusionist, The ",PK 
The Queen ,French Lieutenant's Woman
The Queen ,Camera Buff (Amator) 
The Queen ,Children Are Watching Us
The Queen ,Return of Martin Guerre
The Queen ,Honey (Miele) 
Beerfest ,Andrew Dice Clay: Dice Rules 
Beerfest ,Night Shift 
Beerfest ,Joe Dirt 2: Beautiful Loser 
Beerfest ,I'm Starting From Three (Ricomincio da Tre) 
Beerfest ,My Boyfriend's Back 
Invincible ,French Lieutenant's Woman
Invincible ,Camera Buff (Amator) 
Invincible ,Children Are Watching Us
Invincible ,Return of Martin Guerre
Invincible ,Honey (Miele) 
Idlewild ,Cotton Club
Idlewild ,Chicago 
Idlewild ,Kansas City 
Idlewild ,Be Cool 
"Red Balloon, The (Ballon rouge, Le) ",Witches
"Red Balloon, The (Ballon rouge, Le) ",The BFG 
"Red Balloon, The (Ballon rouge, Le) ",Rollo and the Woods Sprite (Rölli ja metsänhenki) 
"Red Balloon, The (Ballon rouge, Le) ",North Pole: Open For Christmas 
Angel-A ,Price of Milk
Angel-A ,Arizona Dream 
Angel-A ,P.S. 
Angel-A ,Defending Your Life 
Angel-A ,Stranger than Fiction 
"Chump at Oxford, A ",Andrew Dice Clay: Dice Rules 
"Chump at Oxford, A ",Night Shift 
"Chump at Oxford, A ",Joe Dirt 2: Beautiful Loser 
"Chump at Oxford, A ",I'm Starting From Three (Ricomincio da Tre) 
"Chump at Oxford, A ",My Boyfriend's Back 
"Icicle Thief, The (Ladri di saponette) ",Drop Dead Fred 
"Icicle Thief, The (Ladri di saponette) ",Death Becomes Her 
"Icicle Thief, The (Ladri di saponette) ",Evan Almighty 
"Icicle Thief, The (Ladri di saponette) ",Reckless 
"Puffy Chair, The ",Crazy/Beautiful 
"Puffy Chair, The ",Memoirs of a Geisha 
"Puffy Chair, The ",To Gillian on Her 37th Birthday 
"Puffy Chair, The ",Beautiful Thing 
"Puffy Chair, The ",Girl on the Bridge
"Wicker Man, The ",Amityville Horror
"Wicker Man, The ",Others
"Wicker Man, The ",Skeleton Key
"Wicker Man, The ",American Haunting
"Wicker Man, The ",Boogeyman 
"Wind That Shakes the Barley, The ",Human Condition I
"Wind That Shakes the Barley, The ",Boy in the Striped Pajamas
"Wind That Shakes the Barley, The ",Ashes and Diamonds (Popiól i diament) 
"Wind That Shakes the Barley, The ",Turtles Can Fly (Lakposhtha hâm parvaz mikonand) 
"Wind That Shakes the Barley, The ",Gardens of Stone 
Severance ,Hip Hop Witch
Severance ,Housebound 
Severance ,Behind the Mask: The Rise of Leslie Vernon 
Severance ,Mute Witness 
Severance ,Hatchet II 
Hollywoodland ,Girl with the Dragon Tattoo
Hollywoodland ,Kiss the Girls 
Hollywoodland ,Tell No One (Ne le dis à personne) 
Hollywoodland ,Spanish Prisoner
Hollywoodland ,Memories of Murder (Salinui chueok) 
"Covenant, The ",Blade II 
"Covenant, The ",Sky High 
"Covenant, The ",Wrong Turn 2: Dead End 
"Covenant, The ",Freddy vs. Jason 
"Last Kiss, The ",My Father the Hero (Mon père
"Last Kiss, The ",Miracle on 34th Street 
"Last Kiss, The ",Mrs. Doubtfire 
"Last Kiss, The ",Liberal Arts 
"Last Kiss, The ",Mental 
SherryBaby ,French Lieutenant's Woman
SherryBaby ,Camera Buff (Amator) 
SherryBaby ,Children Are Watching Us
SherryBaby ,Return of Martin Guerre
SherryBaby ,Honey (Miele) 
Idiocracy ,Saturn 3 
Idiocracy ,Supernova 
Idiocracy ,The Hunger Games: Mockingjay - Part 1 
Idiocracy ,The 5th Wave 
Jesus Camp ,Blood of the Beasts (Sang des bêtes
Jesus Camp ,Seve 
Jesus Camp ,Last Train Home 
Jesus Camp ,Sicko 
Jesus Camp ,Looking for Richard 
"Bow, The (Hwal) ",Crazy/Beautiful 
"Bow, The (Hwal) ",Memoirs of a Geisha 
"Bow, The (Hwal) ",To Gillian on Her 37th Birthday 
"Bow, The (Hwal) ",Beautiful Thing 
"Bow, The (Hwal) ",Girl on the Bridge
"Tiger and the Snow, The (La tigre e la neve) ",Forrest Gump 
"Tiger and the Snow, The (La tigre e la neve) ",Life Is Beautiful (La Vita è bella) 
"Tiger and the Snow, The (La tigre e la neve) ",Train of Life (Train de vie) 
"Tiger and the Snow, The (La tigre e la neve) ",I Served the King of England (Obsluhoval jsem anglického krále) 
"Fountain, The ",Orlando 
"Fountain, The ",About Time 
"Fountain, The ",Wings of Desire (Himmel über Berlin
"Fountain, The ",Beautiful Creatures 
"Fountain, The ",City of Angels 
Fear City: A Family-Style Comedy (La cité de la peur) ,Andrew Dice Clay: Dice Rules 
Fear City: A Family-Style Comedy (La cité de la peur) ,Night Shift 
Fear City: A Family-Style Comedy (La cité de la peur) ,Joe Dirt 2: Beautiful Loser 
Fear City: A Family-Style Comedy (La cité de la peur) ,I'm Starting From Three (Ricomincio da Tre) 
Fear City: A Family-Style Comedy (La cité de la peur) ,My Boyfriend's Back 
"Science of Sleep, The (La science des rêves) ",Price of Milk
"Science of Sleep, The (La science des rêves) ",Arizona Dream 
"Science of Sleep, The (La science des rêves) ",P.S. 
"Science of Sleep, The (La science des rêves) ",Defending Your Life 
"Science of Sleep, The (La science des rêves) ",Stranger than Fiction 
"Black Dahlia, The ",Girl with the Dragon Tattoo
"Black Dahlia, The ",Kiss the Girls 
"Black Dahlia, The ",Tell No One (Ne le dis à personne) 
"Black Dahlia, The ",Spanish Prisoner
"Black Dahlia, The ",Memories of Murder (Salinui chueok) 
"Woods, The ",Eyes Without a Face (Yeux sans visage
"Woods, The ",Black Sabbath (Tre volti della paura
"Woods, The ",Loved Ones
"Woods, The ",Lord of Illusions 
"Woods, The ",Bones 
Gridiron Gang ,French Lieutenant's Woman
Gridiron Gang ,Camera Buff (Amator) 
Gridiron Gang ,Children Are Watching Us
Gridiron Gang ,Return of Martin Guerre
Gridiron Gang ,Honey (Miele) 
Land of Plenty (Angst and Alienation in America) ,French Lieutenant's Woman
Land of Plenty (Angst and Alienation in America) ,Camera Buff (Amator) 
Land of Plenty (Angst and Alienation in America) ,Children Are Watching Us
Land of Plenty (Angst and Alienation in America) ,Return of Martin Guerre
Land of Plenty (Angst and Alienation in America) ,Honey (Miele) 
"Bridge, The ",Dancemaker 
"Bridge, The ",Regret to Inform 
"Bridge, The ",Little Dieter Needs to Fly 
"Bridge, The ",First Position 
"Bridge, The ",Amanda Knox 
Apocalypto ,Dark Tide 
Apocalypto ,The Walk 
Apocalypto ,Deliverance 
Apocalypto ,127 Hours 
Apocalypto ,Lord of the Flies 
Flyboys ,Saints and Soldiers 
Flyboys ,Heaven and Earth (Ten to Chi to) 
Flyboys ,Flesh & Blood 
Flyboys ,Troy 
Flyboys ,Rescue Dawn 
Jackass Number Two ,American: The Bill Hicks Story 
Jackass Number Two ,Craig Ferguson: I'm Here To Help 
Jackass Number Two ,Kevin Hart: Laugh at My Pain 
Jackass Number Two ,Animals are Beautiful People 
All the King's Men ,French Lieutenant's Woman
All the King's Men ,Camera Buff (Amator) 
All the King's Men ,Children Are Watching Us
All the King's Men ,Return of Martin Guerre
All the King's Men ,Honey (Miele) 
Conversations with Other Women ,Jalla! Jalla! 
Conversations with Other Women ,Terminal
Conversations with Other Women ,10 Items or Less 
Conversations with Other Women ,For Roseanna (Roseanna's Grave) 
Conversations with Other Women ,Cooler
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Andrew Dice Clay: Dice Rules 
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Night Shift 
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Joe Dirt 2: Beautiful Loser 
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,I'm Starting From Three (Ricomincio da Tre) 
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,My Boyfriend's Back 
"Pan's Labyrinth (Laberinto del fauno, El) ",Tideland 
"Pan's Labyrinth (Laberinto del fauno, El) ",I Kill Giants 
"Pan's Labyrinth (Laberinto del fauno, El) ",Seventh Sign
"Pan's Labyrinth (Laberinto del fauno, El) ",Byzantium 
"Guardian, The ",You're Next 
"Guardian, The ",Saw II 
"Guardian, The ",Dominion: Prequel to the Exorcist 
"Guardian, The ",High Tension (Haute tension) (Switchblade Romance) 
"Guardian, The ",Nightwatch 
Open Season ,Happy Feet 
Open Season ,Cars 2 
Open Season ,Madagascar 3: Europe's Most Wanted 
